field-of-view,TF
1,Put3
2,Gat1
3,Stb4
4,Stb3
5,Fhl1
6,Uga3
7,Msn5
8,Hog1
9,Tbs1
10,Mal13
11,War1
12,Opi1
13,Gcr1
14,Gal80
15,Swi4
16,Mig3
17,Dal81
18,Cad1
19,Pip2
20,Msn1
21,Pdr3
22,Mac1
23,Ifh1
24,Yox1
25,Yap3
26,Hal9
27,Spt3
28,Pdr1
30,Gal11
31,Ure2
32,Snf2
33,Phd1
34,Pdc2
35,Cbf1
36,Aro80
37,Hms2
38,Cyc8
39,Kar4
40,Cat8
41,Dig1
42,Sum1
43,Mig2
44,Adr1
45,Bcy1
46,Rgt1
47,Wtm1
48,Spt7
49,Sfl1
50,Yhp1
51,Ume6
52,Rox1
53,Rap1
54,Mal33
55,Leu3
56,Pog1
58,Hap2
59,Reb1
60,Yap5
61,Fkh2
62,Tye7
63,Yrm1
64,Yap7
65,Msn2
66,Hap5
67,Stb5
68,Ino2
69,Azf1
70,Sut1
71,Ecm22
72,Cup9
73,Rgm1
74,Hsf1
75,Met32
76,Haa1
77,Srd1
78,Tea1
79,Met28
80,Sok2
81,Met31
82,Swi6
83,Sub1
84,Yrr1
85,Hmo1
86,Mbp1
87,Gcn4
88,Upc2
89,Fzf1
90,Znf1
91,Rme1
92,Tup1
94,Hot1
95,Mcm1
96,Arg81
97,Gis1
98,Hac1
99,Abf1
100,Cup2
101,Ace2
102,Arg80
103,Bas1
104,Lsm1
105,Rph1
106,Nrg2
107,Gln3
108,Nrg1
109,Pdr8
110,Rtg1
111,Lys14
112,Hms1
113,Stp1
114,Hap3
115,Cst6
116,Spt23
117,Pho2
118,Pex2
119,Yap1
120,Hpc2
121,Oaf3
122,Ixr1
123,Urc2
124,Spt8
125,YKL222C
126,Skn7
127,Zms1
128,Rlm1
129,Sdd4
130,Std1
131,Tda9
132,Tbf1
133,Gin1
134,Sfp1
135,Rfx1
136,Sko1
137,Mss11
138,Ndd1
139,Dig2
140,Rtg2
141,Pho23
142,Met4
143,Ras2
144,Xbp1
145,Crz1
146,Rcs1
147,Dot6
148,Tos9
149,Mot2
150,Mfg1
151,Spt10
152,Ert1
153,Snf1
154,Tod6
155,Hcm1
156,Rds2
157,Ste12
158,Imp2
159,Cha4
160,Msa2
161,Rim101
162,OAF1
163,Com2
164,Gal4
165,Gal3
166,Rds1
167,Rpn4
168,Sip4
169,Hap1
170,Gzf3
171,Dal82
172,Hfi1
173,Dal80
174,Mot3
175,Aca1
176,Mth1
177,Gsm1
178,Mig1
179,Pul4
180,Tec1
181,Hap4
182,Tos4
183,Gcr2
184,Stp2
185,Rdr1
186,Rtg3
187,Msn4
188,Stp4
189,Msa1
190,Lap3
191,Tog1
192,Ume1