"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
83551,82362,81,31486,31271,77,1079,1194,8,1787,1846,20,4039,4018,37,7579,8524,42,163041,153307,95,0.0140156
64616,63259,82,22974,22713,69,835,731,0,1295,1451,13,2670,2467,28,4649,4705,37,105453,101220,93,0.0330368
107753,104745,82,44788,43502,80,1498,1606,16,2754,2569,27,6345,6170,43,11451,10797,57,235102,220953,98,0.0380424
256087,206900,114,157601,129098,109,5210,4173,37,10284,8270,62,20853,17202,77,36110,30598,110,751723,642062,124,0.0410457
171100,147533,96,85655,76899,93,2225,1699,24,3779,3558,37,7160,6321,49,13053,10751,71,258787,223282,104,0.0540602
110242,96465,93,30393,26406,83,1607,1207,20,2789,2610,31,6309,5940,43,11138,9523,63,218322,200053,102,0.0740826
211716,181142,99,132021,115883,96,5282,4817,36,9045,7753,52,19892,16999,82,38516,32226,101,770775,655748,112,0.0800892
140603,122816,90,62695,54269,90,2099,1981,23,3810,3539,35,8620,7380,53,16004,15390,69,305976,279028,105,0.087097
102707,96765,85,36596,35453,80,1825,1654,20,2859,2669,30,5940,5718,45,9517,9309,59,206494,201197,98,0.105117
115645,111371,86,49867,48773,82,1776,1604,20,3361,3122,33,6541,6041,45,12415,11837,64,264332,251753,98,0.10812
150593,125631,92,56847,45840,91,1724,1462,19,3483,2778,37,6948,5706,47,12680,9979,62,276116,232215,108,0.120134
177631,142642,100,60773,49141,95,2158,1534,25,2937,2331,34,9007,7512,55,14240,11723,71,304939,252450,114,0.121135
217685,181693,114,61862,49793,100,2753,2343,30,5287,4477,43,10510,9155,57,19305,15833,76,383947,343007,117,0.142158
129157,114383,88,49506,42928,87,2172,1632,25,3527,3181,34,7109,6406,47,13622,12457,66,299006,280361,101,0.147164
73354,71635,87,23695,23377,69,952,1019,3,1678,1765,19,3627,3442,32,6200,5855,40,137701,132350,91,0.159177
158377,145149,94,72753,67144,89,1758,1496,22,2820,2613,35,6855,5780,47,11537,10353,61,237333,202106,102,0.16118
157786,136649,92,60821,51653,90,2001,1505,21,3755,3049,36,8178,6912,50,14619,12999,74,307878,284286,105,0.172192
136718,120644,88,40009,34944,86,1546,1505,16,2512,2636,30,6896,6058,46,11400,9934,67,227737,207797,103,0.173193
236903,200568,102,151440,134802,100,4126,3557,36,9025,7678,60,15873,13687,69,28054,24241,100,593623,519533,116,0.174194
290025,227635,114,157871,126452,114,4674,3914,37,8470,7423,55,17534,15385,73,27985,25069,98,597150,539730,121,0.174194
91380,90135,84,33207,33086,77,1504,1472,15,2937,2404,31,6271,5989,45,10216,10493,57,232769,219359,95,0.1792
125593,115786,100,43560,41161,84,1858,1640,20,2650,3080,27,6194,5850,44,10278,9688,57,224715,211270,102,0.185206
196119,144248,100,77530,57114,97,2897,2141,31,4158,2843,46,9748,7128,64,16563,12175,72,383998,294328,114,0.195218
80304,79442,82,17981,17870,53,1011,803,0,1158,1504,15,3627,3615,33,5722,4856,45,132819,124968,93,0.196219
239711,179414,106,101925,78514,102,3977,2729,39,6267,5009,50,14263,11220,67,23022,17452,87,494534,382898,120,0.208232
97762,98218,78,20336,19665,59,1607,1731,18,2503,2709,27,6409,6468,41,11417,10808,57,237688,225066,96,0.212236
111771,107109,86,48280,45845,82,1651,1622,17,3180,2989,31,6423,6521,41,11136,10614,61,246974,226792,99,0.214239
115509,111391,82,28137,27147,79,1865,1437,21,3186,2708,34,5904,5816,40,11038,10893,55,234614,219679,99,0.231258
159131,131619,93,64004,54117,92,2008,1680,25,3732,3230,36,8010,6642,53,16268,13382,77,327123,280495,109,0.270301
68456,67083,76,23605,23562,65,758,721,0,1737,1702,16,3310,3121,31,5061,5022,39,122839,119241,91,0.283316
168590,153296,90,115167,107117,89,3621,3401,31,7079,6657,46,12696,12295,62,23516,22813,87,478197,446218,101,0.293327
95515,93742,90,41535,40864,79,1392,1355,13,2056,1653,25,4580,4523,38,7668,7485,48,169153,161045,96,0.299334
76951,74477,79,27667,27424,76,1093,1081,7,1340,1301,16,3325,3217,33,6575,6084,49,134842,129155,94,0.301336
215917,162934,107,78209,60287,101,2628,2078,32,4007,2913,42,9664,7436,56,16562,13249,80,375829,302556,119,0.308344
151251,121759,96,51862,42030,91,2219,1757,26,3771,3122,39,8862,7177,51,16128,13578,79,336609,281531,109,0.324361
102242,96943,98,29280,28591,79,1570,1495,17,2514,2258,28,5566,5645,40,10534,9886,57,215185,207557,98,0.326364
84989,82729,95,28181,27550,77,966,1005,2,1493,1954,19,4530,4695,37,7894,8084,45,167871,166467,95,0.337376
194911,155746,98,79149,63171,94,2047,1713,25,5251,3590,51,9441,7375,59,15474,12232,71,353531,297145,112,0.340379
130101,122241,86,45135,41773,85,1432,1269,13,2477,2982,28,6139,5964,42,11331,10513,63,232555,217293,102,0.352393
123683,119787,87,82269,79308,84,2303,2097,25,4183,3950,38,8556,8138,56,14552,13567,68,305899,289837,99,0.364406
210410,160386,106,72889,55840,100,2267,1998,25,4075,3031,40,8910,7032,58,15619,11867,67,341433,272641,117,0.390435
107458,101686,91,49290,47966,81,1878,1443,20,2589,2476,27,6510,6263,44,10702,10015,61,256488,242601,98,0.396442
114243,106673,85,36689,35309,82,1285,1334,16,2750,2531,33,5721,5465,42,10244,8958,55,220366,205979,97,0.407454
99207,94857,84,38026,36197,80,1467,1320,14,2066,1968,25,4821,5123,35,8179,7735,50,175660,165199,95,0.413461
117903,107136,87,40471,38201,83,1579,1659,18,3092,2868,35,5926,5494,45,10352,9027,55,216953,197941,101,0.419467
133944,125031,88,61705,57683,86,2139,2005,24,3461,3495,32,7596,6993,49,14574,12798,63,293043,263929,100,0.43048
159562,134212,98,53768,45174,90,2152,1964,24,3204,2763,37,8440,7210,54,13671,11796,63,315085,273536,108,0.442493
78250,76587,80,24628,24218,74,973,981,0,2037,1938,23,3460,3374,32,6576,6880,46,134913,133917,89,0.463517
93673,89283,85,31216,30513,77,1416,1342,13,1904,2060,24,4949,4452,40,8189,7978,48,190744,180188,95,0.473528
95371,91464,94,29441,28475,78,1245,1310,14,2438,2366,27,5530,5170,45,10350,9751,52,213652,207640,94,0.479534
124280,118880,87,40069,38370,80,2085,2098,21,3310,3140,31,6100,6112,42,11315,10433,53,242766,227761,99,0.482538
93123,88957,83,59503,57761,80,1492,1186,11,2491,2409,28,4853,5048,37,8923,8368,48,196307,188128,96,0.487543
181863,148767,96,70786,57891,96,2359,2136,23,4324,3876,39,10092,8211,62,18379,15236,75,373276,316618,113,0.490547
102638,99018,82,34703,33843,80,1700,1408,19,2666,2652,28,5615,5782,39,10366,10448,52,208818,198297,98,0.494551
149392,125768,93,47573,38328,91,2131,1676,22,4384,3699,42,7306,6328,47,12676,11170,66,270091,228803,108,0.505563
85200,80365,93,33387,32044,79,1213,1234,11,2217,1991,24,4258,4168,35,7671,7140,50,163674,155908,96,0.509568
94734,92220,82,31640,30970,77,1242,1211,12,1692,1794,19,4415,4541,36,6815,6670,45,164556,158988,95,0.536598
252700,161218,122,83509,53850,118,3396,2204,36,6554,4315,54,13736,9324,73,23938,15626,95,525532,357181,134,0.5386
121153,109624,89,50615,45524,85,1858,1714,20,2748,2516,29,6967,6370,44,11921,11360,60,261434,247937,101,0.541604
181656,149123,96,55798,45330,94,2636,2173,27,4403,3962,38,9521,8182,54,16116,14004,71,378977,323875,111,0.551615
118534,96692,94,39194,31716,87,1427,1130,13,3072,2498,34,6145,4815,49,10226,7819,62,228317,183967,105,0.557621
184258,148529,97,72857,58501,95,2765,2164,29,4774,3806,43,9729,8253,56,18495,15658,77,388791,341850,109,0.56563
130287,118595,89,44481,39367,84,1683,1500,21,2964,2958,30,7916,7806,48,14361,12635,71,298067,274302,103,0.570636
231640,169485,102,81025,60328,99,3296,2276,35,5320,4218,46,12045,9107,63,20181,15572,89,434134,334375,117,0.571637
82487,79084,80,37035,35809,78,1128,1316,11,1274,1560,18,4898,4619,41,7344,7132,46,172606,169455,93,0.576643
163413,133082,95,58088,47895,93,1961,1650,23,4363,3609,36,8369,6723,54,14583,12085,74,288298,243338,111,0.58365
203196,174023,99,78118,67066,97,3072,2539,31,4461,4103,35,9558,8608,51,17627,16238,77,349296,330415,113,0.588656
102244,92674,99,43463,38757,99,1371,1193,11,2982,2904,29,5794,5395,42,8905,8599,54,218020,193002,99,0.588656
70985,70398,79,26653,26476,75,847,881,0,1897,1597,21,3668,3756,32,5655,5767,40,119129,116135,92,0.594663
112707,109519,85,44886,43886,81,1736,1672,20,3042,2834,32,6180,5918,41,11444,11422,63,212593,205864,98,0.594663
115393,110541,84,38472,36568,80,1651,1756,19,2992,2889,29,6744,6311,46,13156,12157,62,263656,254507,98,0.596665
257933,202833,111,89684,70385,111,3483,2585,35,5909,6041,40,13918,11705,69,25058,21265,89,527398,470960,125,0.615686
77343,74807,80,21853,21315,62,877,989,0,2296,1936,22,4325,4114,35,7575,7164,49,156856,155690,94,0.617688
85428,84072,78,16095,15873,49,1297,1289,12,2140,2386,25,4058,4001,35,8151,7987,48,173092,167398,94,0.63671
108355,104440,83,39443,38577,81,1608,1751,18,2393,2792,28,6344,6046,43,13212,12572,64,264140,255818,99,0.637711
84885,81544,81,35179,34204,78,1169,1140,13,2520,1918,27,4868,4547,40,9031,8667,58,181761,177438,96,0.642716
313968,211388,146,126444,86185,141,4685,3040,41,7695,5167,50,15827,11109,83,27423,18713,108,615497,427266,159,0.652727
96853,97081,81,19392,19444,55,1519,1455,17,2017,2009,21,4697,4857,37,8401,8290,51,167615,158555,95,0.652727
184458,145547,108,72901,57733,99,2318,2046,25,5094,4452,41,9080,7282,56,15932,12840,83,351690,295900,115,0.65473
194994,175348,96,106774,95478,93,4012,3474,36,8178,7324,53,16576,14678,69,28294,24745,97,586049,512733,109,0.656732
126294,116716,87,46230,43390,84,2174,1879,25,4070,3870,33,8369,8129,51,15722,15307,70,308315,296052,102,0.692772
94673,91704,82,31049,30059,79,1399,1394,18,2809,2505,31,4618,4737,38,9841,9348,53,187423,174419,97,0.700781
153304,133253,91,54456,46387,89,2052,1867,23,3969,3663,36,8308,7357,48,15557,14542,68,330958,301179,106,0.705786
139130,126417,89,49922,45235,85,1917,1571,22,3205,3586,31,7825,7365,52,13007,12060,68,269561,252899,103,0.713795
88834,84869,83,36713,36287,79,1433,1237,12,2204,1757,27,4841,4737,39,9081,8830,56,185057,176651,97,0.715798
146370,133270,89,55505,51254,85,2398,2041,26,3701,3471,33,8265,7700,49,13401,12591,63,283140,265667,101,0.722805
109155,102104,85,43072,41632,81,1596,1551,17,2906,2721,30,6454,5967,46,11308,11032,53,233527,220916,99,0.728812
127118,119975,101,66290,64476,84,2232,2077,23,3417,3251,35,8098,7219,51,14032,12501,74,283896,246754,100,0.733818
68912,68292,84,26442,26143,75,969,966,0,1380,1091,16,3506,3403,33,6981,6853,46,137843,132721,92,0.733818
128900,118630,89,39051,35532,85,1701,1594,21,3309,2972,30,6086,5723,46,11384,10076,69,223885,215633,102,0.738823
169857,133366,96,66593,52331,93,2343,2068,25,4414,3134,42,9434,7664,52,18050,14300,75,366242,302127,110,0.754841
149619,117095,93,60155,47495,92,1760,1236,19,3586,2583,37,6828,5396,50,11344,9202,59,277080,224022,110,0.765853
76643,76063,79,27728,27308,75,696,692,0,1641,1441,17,4124,4049,35,7772,7708,42,164974,155804,93,0.772861
167091,136697,97,55335,44215,93,1983,1521,25,4018,3256,34,8657,7375,56,14672,11998,73,309082,260412,111,0.788879
78142,77525,78,24792,24532,75,862,932,0,1485,1692,18,3578,3486,33,6130,6426,41,135419,136491,94,0.799891
135242,125937,85,58146,53838,85,2103,1629,25,3864,3698,34,8492,7686,53,14697,14639,66,309192,292558,101,0.809902
83400,78996,89,28869,28082,77,1272,1394,12,1763,2261,22,4832,4844,38,8615,7816,54,185478,175648,92,0.810904
190616,167181,97,88776,78383,95,3479,3140,31,5882,5493,43,12334,11000,67,20983,18486,82,452911,420267,111,0.812906
81301,78241,87,34328,33769,77,1388,1125,9,2189,1833,25,4202,4290,34,7394,7332,46,157496,154111,93,0.814908
251696,192798,105,85972,65702,100,3545,2692,35,6542,5001,51,14142,11103,66,23273,18040,87,489358,381297,119,0.824919
244368,184943,114,85779,65328,108,3030,2317,32,5226,4493,41,11620,9072,64,19076,14745,82,411817,323237,126,0.827923
144714,117032,98,53004,43483,91,2076,1638,23,3487,2798,34,7303,5749,48,13801,11196,68,270605,227987,108,0.831927
93734,92368,83,21244,21168,57,924,979,0,2628,2354,28,4825,4646,38,8563,8019,55,185934,178675,96,0.838935
256521,171989,111,84123,57375,107,3042,1910,37,6732,4625,51,14494,9757,77,23243,15647,94,526063,356182,125,0.845943
191309,164305,93,54200,45447,90,2239,1785,25,4322,3409,39,9171,7618,54,15961,13573,71,331584,298068,107,0.845943
131096,108368,94,51579,43708,88,1468,1398,15,2796,2702,30,6592,5292,49,10549,8815,57,220127,184429,103,0.847945
102064,97347,83,25955,24852,76,1722,1830,19,2679,2701,29,6386,6565,43,10657,10549,50,240229,234003,96,0.849947
51888,51706,75,15305,15517,50,613,702,0,1249,1003,1,2402,2520,25,4431,4721,34,85552,86474,89,0.86196
191809,152343,105,64107,51033,93,2770,2097,31,4516,4282,40,11025,9248,65,18263,14928,76,395967,332914,113,0.868968
137961,116636,102,51990,43309,88,1654,1461,19,2551,2318,30,6083,5108,46,10288,8654,62,202602,172311,105,0.874975
135161,125254,87,54089,51614,84,1691,1419,22,2699,2670,28,5940,5739,44,10839,10005,60,220502,206617,102,0.894997
116980,110073,85,41714,39475,81,1607,1333,17,2825,2391,34,6059,5545,43,10556,10135,60,212073,198729,97,0.895998
172515,153345,95,59491,53164,89,2356,2039,25,4680,3954,37,9834,8872,58,18194,17204,76,367355,344388,108,0.899002
173069,154921,93,64705,58861,88,2127,1992,24,5046,4923,37,10297,9362,61,16473,15296,81,394941,364132,107,0.904007
65499,65460,79,21842,21550,61,851,796,0,979,1119,8,2762,2899,27,4773,5025,34,95569,91815,93,0.919024
92654,91932,79,42652,41586,79,1250,1164,10,2801,2704,27,5244,4918,38,9969,9297,54,206595,197162,96,0.920025
130471,125080,83,51243,48885,82,1777,1623,20,4124,4090,37,8095,7372,50,12976,12303,69,294235,275120,100,0.921026
164693,146614,91,121241,111087,90,4296,4236,33,7442,6347,47,16458,14878,73,30063,27534,93,620373,561219,106,0.94205
112726,110446,86,70412,68822,82,1543,1552,18,3111,2730,33,6394,6263,44,11206,10598,60,243839,232058,97,0.944052
170095,130006,102,54309,39733,97,2031,1425,26,4227,3061,43,9680,7169,58,15644,11928,70,355753,276074,114,0.955064
112580,107494,84,57185,56020,82,1455,1564,16,2849,2378,28,6792,6782,42,10311,10125,57,244127,233433,100,0.962072
137503,119193,100,52577,45755,88,1881,1264,20,3756,3075,40,7584,6928,48,13674,12165,65,296765,266937,105,0.964074
169086,134688,99,56263,44342,94,2654,1931,34,4260,3719,39,9549,7651,55,16828,12884,75,356678,296577,111,0.972083
210067,161695,102,90773,70052,100,3283,2599,33,5028,3527,48,10712,8731,58,20998,16836,88,425719,345837,118,0.986099
118556,106973,86,47913,42795,84,1391,1199,15,2535,2660,26,5877,5121,44,11156,10069,61,237670,219950,102,0.992105
82842,81471,82,29330,28996,76,1370,1293,14,2043,1801,20,4430,4532,37,7462,7335,45,175084,161364,94,0.997111
126772,119928,86,46864,44667,82,2204,1840,26,3102,2603,35,8102,7745,50,15724,14092,70,313706,285006,100,0.999113
115158,110642,83,45613,43654,81,1016,1184,10,2664,2292,32,5627,5513,42,9566,9510,49,196798,183410,99,1.00912
103878,97102,82,54082,50587,82,1434,1172,13,2879,2514,31,6670,6788,43,11438,10958,61,247365,234432,98,1.01513
106972,101320,95,33414,32535,79,1381,1371,15,2718,2492,31,6151,5506,44,10696,9777,57,240134,226140,98,1.02915
154198,140893,99,51761,46201,86,2765,2164,30,4313,4396,36,9086,8248,51,14952,14073,62,330356,310937,102,1.03015
231558,190144,106,118018,99880,100,4125,3680,36,7595,7054,45,16185,14748,75,27253,23757,100,556480,514821,116,1.03916
145235,123871,97,42115,35610,88,1830,1315,21,3436,2873,31,6991,6425,46,12810,11625,60,256299,235370,103,1.05017
78904,78509,79,28224,28130,76,983,1021,4,1710,1645,20,3612,3711,34,6846,6479,44,135181,131025,91,1.05117
102998,98682,82,39516,38181,80,1754,1740,20,3045,2883,35,5526,5160,41,10029,9632,54,211049,199986,98,1.05317
65300,64508,77,25383,24689,74,524,510,0,1145,1295,12,2981,2956,28,5438,5484,40,127191,125741,91,1.06018
154862,129570,96,61678,51799,89,2513,2048,27,3719,3078,34,8256,6786,58,15786,13361,72,314109,271917,107,1.06419
103399,96731,85,43466,41000,82,2080,1741,22,3401,2458,35,7071,6316,47,11459,10893,52,262410,245572,95,1.06719
278829,183882,126,107655,72356,120,3530,2212,40,6579,4468,50,13409,8741,71,22278,14838,93,470319,312102,138,1.06719
161254,146887,91,74852,67323,89,2604,2302,28,4476,4332,37,9309,9076,55,16243,15385,70,350774,333180,103,1.06719
167246,133846,93,52728,41510,91,2340,1965,26,3842,2824,43,9263,7264,56,16065,12488,74,348240,281571,109,1.06719
183246,154942,102,68600,58476,93,2693,2058,29,4310,4256,35,10111,8875,61,17268,15140,72,382555,357469,103,1.07219
137322,117751,93,41667,36297,87,1609,1277,18,3643,3232,29,7100,5760,51,11389,10774,59,234693,212982,106,1.0752
168174,136613,95,54335,42616,91,2283,1950,24,4281,3864,38,9348,7495,57,17441,13769,79,351746,296921,109,1.09021
108314,104193,87,34943,33691,80,2180,2010,22,3177,3200,31,7522,7378,45,13723,12477,65,283143,273978,99,1.09622
110808,107348,83,28999,28126,80,1767,1675,20,3203,3005,33,6337,6207,41,10268,9917,55,227985,217594,98,1.10023
96961,95191,81,32731,32205,79,1389,1422,15,2925,2711,29,6341,5967,44,11917,11806,63,260682,245166,97,1.10423
227070,178169,103,116327,92553,101,3849,3047,36,6380,5077,45,14983,12388,67,24340,19633,93,525862,423723,118,1.11424
228627,165157,105,91066,63973,101,2593,2090,30,4787,3261,43,10835,8015,65,17114,12645,81,376650,279619,118,1.11524
197263,168468,100,61398,50508,98,2571,2196,29,4881,4017,42,9810,8558,60,16392,14552,75,352705,302710,114,1.12025
118325,112814,86,29830,28705,80,1791,1813,18,3866,3614,36,7752,7453,50,13797,12923,70,306527,290192,100,1.12826
65139,66339,76,27419,27333,74,799,756,0,1386,1341,13,3485,3657,33,6104,6376,42,129841,127819,91,1.13426
134735,116243,104,43089,36089,88,1856,1730,22,3747,3158,38,8036,7321,49,13670,12812,64,301022,272513,104,1.13627
214533,172751,116,85558,68959,106,3055,2451,31,5438,4609,43,12182,10262,59,20858,16778,82,440425,369882,124,1.13927
93824,92862,79,33888,32762,79,1786,1544,20,3017,2810,32,6694,6482,42,12472,12845,64,262560,256279,96,1.14327
48799,49181,74,19219,18925,58,597,461,0,1319,1408,16,2970,2835,31,4901,4536,39,135314,131276,89,1.14628
174920,151852,92,76785,64789,92,2722,2113,29,4474,3689,43,9622,8560,56,16084,14929,73,343166,312556,109,1.14728
155149,123924,94,63171,52772,90,1864,1567,20,3022,2425,34,6986,5850,46,13753,10582,74,263219,215361,108,1.1683
216668,180235,105,65114,51997,101,3197,2421,31,5144,4505,41,10912,9454,60,19183,15536,81,407199,346779,117,1.1683
322144,214548,147,146458,105608,134,5427,3555,45,11779,8709,58,22103,16568,87,37419,27075,136,810141,609904,150,1.1703
69207,70026,78,28619,28571,75,756,870,0,1534,1648,20,3434,3329,33,5851,6049,39,135973,135190,92,1.17531
159058,125630,96,59675,47535,92,1694,1231,24,3669,3236,36,6973,5377,50,12707,9540,65,275713,211712,109,1.18732
221580,176083,105,63426,49385,98,2497,1829,30,5250,4187,42,11492,9182,68,18516,14928,74,400451,334168,117,1.19333
115485,107512,85,37050,34269,81,1607,1659,19,2935,2615,32,7032,6700,44,13062,11819,62,272712,260771,99,1.19834
111513,104641,86,32301,30709,81,1050,1066,6,2205,2441,25,5914,6027,40,10486,9865,61,211810,200521,100,1.20534
99111,96826,81,25000,24009,71,1821,1984,21,3195,2698,31,6730,6576,44,12554,11798,60,252262,237393,95,1.20835
179391,147346,95,57620,46414,91,2392,2041,25,3330,2639,36,8815,6867,56,14310,12063,72,295903,243752,110,1.21235
101437,99580,83,19493,19368,54,1296,1286,15,2402,2776,26,5471,5623,39,9967,9765,55,213737,204753,97,1.22036
96927,93133,86,55180,53658,80,1456,1392,14,2214,2469,28,5429,4915,43,9329,8859,59,204267,190900,95,1.22837
122315,120831,82,41226,40501,80,2145,1816,23,3340,3690,31,8125,7665,50,13175,12349,59,293566,277240,99,1.23938
136518,122168,87,42878,36769,89,1987,1740,22,2777,2336,30,6636,6331,45,11142,9795,60,251523,226119,105,1.2544
164899,138605,98,71549,60552,94,2577,2144,28,4143,3647,36,9164,7874,51,16396,13819,77,323907,282364,111,1.2544
129208,116948,89,36614,32577,84,2213,1959,23,3119,2772,32,7713,7430,46,13683,13033,67,285175,261206,102,1.2554
89628,87899,81,35092,34165,78,1280,1201,11,2071,2428,21,4952,4876,39,9105,8616,54,191720,191985,96,1.26441
237103,187246,111,121779,101382,107,3060,2626,31,6632,5180,48,12393,10084,66,20883,17787,84,457214,388867,124,1.26541
119078,111928,86,54469,52299,81,1796,1916,20,3275,3362,32,6836,6372,45,11457,11768,52,252347,244084,100,1.27142
105124,104052,84,34248,33809,78,1691,1718,19,3530,3337,31,7003,6961,46,13325,12613,68,264083,254847,97,1.27642
81654,80388,81,21905,21549,57,1161,1120,8,1792,1958,22,4392,4181,37,7969,8094,48,170873,164104,94,1.28343
124204,116567,90,51739,48809,85,1952,1823,22,3504,3375,35,8482,8092,49,15173,13884,69,314970,300830,102,1.28643
119039,114582,94,38941,37438,80,1437,1397,18,2860,2916,29,6385,6023,44,12117,12313,66,243862,230695,99,1.29144
102730,99037,83,38867,37560,79,1375,1388,16,2389,2688,25,5573,5461,41,10239,10204,53,206820,194383,97,1.29144
110270,107024,84,28174,27620,79,1351,1284,13,2845,2648,31,5665,5571,41,7925,7743,49,188651,183143,98,1.30345
130632,107779,92,45509,36878,89,1434,1095,11,2442,2060,31,6789,6008,49,12409,11076,66,258488,229488,104,1.30746
199396,167887,100,87656,75818,96,2765,2117,29,5880,5080,47,10084,8693,56,17205,15313,74,365159,320648,114,1.31446
189473,152443,98,66747,55222,95,2435,1822,25,4348,3410,43,8861,7410,53,15439,12469,69,345228,291999,113,1.31547
199779,170294,102,83860,69844,95,2895,2768,28,4996,4454,37,11147,9695,59,18227,15433,71,384862,341436,111,1.32047
114807,110775,85,56385,53916,82,1809,1390,18,2649,2883,28,5424,4950,44,9960,8881,59,195528,185160,99,1.35851
162929,137497,98,51157,44592,88,2316,2278,24,5610,4457,44,10425,9203,57,18561,16924,83,383590,350251,108,1.35951
106332,104721,81,40487,39519,80,1447,1326,16,2440,2347,25,5106,4699,42,8605,8246,51,188912,181881,98,1.36052
75950,73352,78,30551,29669,77,970,958,0,2013,1712,20,4020,4032,35,7103,6312,51,146345,142277,94,1.36052
183703,155359,107,65198,55579,91,2126,1836,25,3712,2968,35,8549,7538,50,13825,11610,73,280031,254096,109,1.36252
239953,193508,108,112850,93464,102,2870,2260,31,6073,4973,43,12340,10070,62,21495,18198,97,444606,374310,119,1.36652
178057,143058,98,63083,49238,96,2279,1628,29,4021,2697,42,7656,6117,50,15276,12329,70,309561,248827,113,1.37753
140751,130794,87,71003,67816,86,2159,2142,24,4163,3728,38,9590,8754,55,16086,15394,72,331474,302415,103,1.37854
199038,163524,102,67108,53970,96,2891,2133,29,5026,4249,45,11846,9650,64,19941,16653,79,397366,342013,112,1.38454
159517,122813,95,62916,48916,93,2236,1791,27,3968,3133,44,8754,6402,58,15968,12060,69,331633,266165,110,1.39055
64943,65083,71,26475,26020,74,955,757,0,1238,1528,14,4011,3864,37,6375,6324,41,152092,147553,91,1.39155
92708,89900,80,29948,29619,77,1137,1200,11,2285,2104,30,4552,4657,35,9619,9157,52,193221,185346,96,1.39255
81085,77760,81,18929,19042,55,1062,1139,8,1799,1854,22,3738,3471,35,7038,6498,50,142718,138334,94,1.40457
164227,139476,95,65749,55870,90,2305,1992,26,4569,3905,35,8855,7092,57,15556,13463,70,320291,272175,107,1.40557
165746,138623,93,60566,49974,92,1863,1742,20,3949,3237,36,8415,7082,57,14713,12072,73,321605,270866,109,1.41358
89806,86296,82,30898,29763,79,1344,1279,14,1857,1732,21,5156,5284,40,8942,8521,49,188240,179069,93,1.41858
239303,188465,109,97085,78783,103,4697,3472,40,8461,7353,54,17807,14453,78,31978,26574,106,679180,554021,122,1.42158
133628,117013,87,58654,50458,88,1361,1259,15,3194,2853,32,5850,5471,43,10691,9332,56,215119,189197,104,1.42759
89166,88084,80,29202,28381,79,1503,1452,19,3156,2908,28,5968,5816,40,10557,9913,52,220596,214604,96,1.4346
202722,156427,101,78385,60320,100,2423,1955,25,3974,3306,37,9511,7515,57,15621,12393,66,339265,268276,118,1.4366
68426,65844,80,26349,25898,69,507,657,0,1301,1232,12,3557,3159,34,5309,5081,39,121177,119433,92,1.4376
100410,95553,81,27080,25716,77,1450,1364,17,2883,3063,31,6741,6719,44,12014,11160,60,249113,238445,97,1.44261
82909,81659,78,31065,30166,77,1137,991,0,1827,1957,23,4454,4215,37,8078,7479,50,182585,175234,94,1.44561
101899,99546,83,33488,32863,79,1584,1343,17,2982,3080,30,6698,6262,44,12160,11925,57,253095,242884,98,1.45262
